11	96
0	1	2	2	2	2	2	2	2	3	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	4	5	6	7	4	5	6	2	8	9	2	3	4	5	6	7	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	10	11	12	13	14	15	4	5	4	5	4	5	4	5	4	5	6	7	4	5	6	7	16	17	2	2	2	2	18	19	
20	21	2	2	2	2	2	2	2	2	22	23	24	25	24	25	24	25	24	25	24	25	24	25	26	27	24	25	24	25	26	27	24	25	28	29	2	2	28	29	2	2	30	31	32	33	28	29	2	2	34	35	36	37	36	37	36	37	36	37	34	35	36	37	36	37	36	37	2	2	28	29	26	27	24	25	20	21	38	39	38	39	2	2	28	29	2	2	28	29	32	33	40	41	26	27	
6	2	2	2	2	2	2	2	2	2	2	3	4	5	4	5	4	5	4	5	4	5	4	5	6	7	4	5	4	5	6	7	4	5	16	17	2	2	16	17	2	2	14	15	0	1	16	17	2	2	12	13	10	11	10	11	10	11	10	11	12	13	10	11	10	11	10	11	2	2	16	17	6	7	4	5	6	2	8	9	8	9	2	2	16	17	2	2	16	17	0	1	42	42	6	7	
32	33	2	2	2	2	2	2	2	2	2	2	38	39	22	23	20	21	22	23	20	21	38	39	43	33	28	29	28	29	2	2	38	39	28	29	2	2	28	29	43	33	44	44	44	44	24	25	32	33	2	2	34	35	36	37	36	37	34	35	2	2	34	35	36	37	34	35	2	2	28	29	2	2	28	29	2	2	2	2	2	2	2	2	28	29	30	31	24	25	24	25	26	27	2	2	
0	1	2	2	2	2	2	2	2	2	2	2	8	9	2	3	6	2	2	3	6	2	8	9	45	46	16	17	16	17	2	2	8	9	16	17	2	2	16	17	45	46	47	48	47	48	4	5	0	1	2	2	12	13	10	11	10	11	12	13	2	2	12	13	10	11	12	13	2	2	16	17	2	2	16	17	2	2	2	2	2	2	2	2	16	17	14	15	4	5	4	5	6	7	42	42	
24	25	32	33	30	31	32	33	43	33	30	31	32	33	30	31	32	33	2	2	2	2	30	31	26	27	49	50	49	50	32	33	30	31	24	25	30	31	49	50	44	44	51	52	51	52	24	25	24	25	32	33	43	33	34	35	34	35	2	2	2	2	2	2	34	35	2	2	2	2	28	29	30	31	24	25	20	21	2	2	2	2	2	2	28	29	24	25	26	27	20	21	2	2	24	25	
4	5	0	1	14	15	0	1	45	46	14	15	0	1	14	15	0	1	2	2	2	2	14	15	6	7	53	54	55	54	0	1	14	15	4	5	14	15	53	54	47	48	56	57	56	57	4	5	4	5	0	1	45	46	12	13	12	13	2	2	2	2	2	2	12	13	2	2	2	2	16	17	14	15	4	5	6	2	2	2	2	2	2	2	16	17	4	5	6	7	6	2	42	42	4	5	
44	44	44	44	44	44	44	44	44	44	26	27	44	44	24	25	24	25	32	33	30	31	26	27	44	44	44	44	44	44	44	44	44	44	26	27	44	44	44	44	51	52	51	52	51	52	44	44	49	50	49	50	24	25	26	27	32	33	2	2	44	44	2	2	30	31	32	33	30	31	24	25	24	25	26	27	32	33	2	2	44	44	2	2	44	44	49	50	2	2	2	2	49	50	26	27	
47	48	47	48	47	48	47	48	47	48	6	7	47	48	4	5	4	5	0	1	14	15	6	7	47	48	47	48	47	48	47	48	47	48	6	7	47	48	47	48	56	57	56	57	56	57	47	48	53	54	53	54	4	5	6	7	0	1	2	2	47	48	2	2	14	15	0	1	14	15	4	5	4	5	6	7	0	1	2	2	47	48	2	2	47	48	53	54	42	42	42	42	53	54	6	7	
58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	58	59	44	44	44	44	44	44	44	44	
60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	60	47	48	47	48	47	48	47	48	
